File Path: F:\Lewis Lab\Macy Castaneda\Three-Point-Bending 2022-10-26\C18-L-M-RF 10-26-2022 1 03 54 PM\Collect Data - (Timed).txt   
Test: 3-point bend for mouse bone
Test Run: C18-L-M-RF
Date: 10/26/2022 1:02:25 PM


Ch 1 Displacement 	Ch 1 Force 	Ch 2 Torque 	Aux Input 5 	Running Time 
mm	kN	kN·mm	V	sec
-0.00835359060147312	-0.00141854977607727	0.000344647996826097	-0.0174984335899353	0.0205078125
-0.0158995389938354	-0.00177561008930206	0.000957885873503983	-0.0233130156993866	0.0458984375
-0.0218480818148237	-0.00232639026641846	-0.000407052022637799	-0.0330320000648499	0.0712890625
-0.0258684158325195	-0.00340785479545593	-0.0012865400640294	-0.0414657592773438	0.0966796875
-0.0318497404805385	-0.00404263210296631	0.000555618025828153	-0.0469063222408295	0.1220703125
-0.0353574760083575	-0.0042649827003479	-0.000946035957895219	-0.055026113986969	0.1474609375
-0.0404298298235517	-0.00502649784088135	-0.001208491390571	-0.0624054670333862	0.1728515625
-0.0468790531158447	-0.00522541093826294	0.000624156498815864	-0.0681686401367188	0.1982421875
-0.0494331106892787	-0.00615995454788208	-0.00109442742541432	-0.0758354365825653	0.2236328125
-0.0554800026293378	-0.00641928768157959	-0.00106739846523851	-0.0842711329460144	0.2490234375
-0.0618487611063756	-0.00709549570083618	-0.00162773078773171	-0.0897487998008728	0.2744140625
-0.067603585193865	-0.00723029088973999	-0.000255087012192234	-0.0998446345329285	0.2998046875
-0.070023539592512	-0.00795745086669922	-0.00136146903969347	-0.105206966400146	0.3251953125
-0.0767379970056936	-0.00800451469421387	-0.00152872945182025	-0.112738460302353	0.3505859375
-0.0817090258351527	-0.00925561237335205	-0.000960318720899522	-0.118293166160583	0.3759765625
-0.0884383916854858	-0.00917442417144775	-0.00238149124197662	-0.125124603509903	0.4013671875
-0.0901907696970738	-0.00990783596038818	-0.00149123591836542	-0.132392942905426	0.4267578125
-0.0970661640167236	-0.0112182588577271	-0.00195182196330279	-0.143393725156784	0.4521484375
-0.103744867374189	-0.0110961399078369	-0.00112387747503817	-0.149776265025139	0.4775390625
-0.107574465801008	-0.0111839590072632	-0.000150277148350142	-0.155432149767876	0.5029296875
-0.113263726234436	-0.0122508277893066	-0.00218516471795738	-0.159355327486992	0.5283203125
-0.118422511150129	-0.0123393278121948	-0.00121460249647498	-0.168116614222527	0.5537109375
-0.121384859085083	-0.0129623374938965	-0.00205013644881547	-0.169695094227791	0.5791015625
-0.127688050270081	-0.0133205099105835	-0.000199411137145944	-0.177646353840828	0.6044921875
-0.132864719489589	-0.0135218439102173	-0.00308675784617662	-0.1798465102911	0.6298828125
-0.139796728035435	-0.0135758209228516	-0.00138308526948094	-0.184406340122223	0.6552734375
-0.141495460411534	-0.0141719598770142	-0.000642012862954289	-0.186510533094406	0.6806640625
-0.149029496242292	-0.0143226184844971	-0.00200587976723909	-0.191448107361794	0.7060546875
-0.151154396007769	-0.0147701845169067	-0.00139067473355681	-0.195299461483955	0.7314453125
-0.15529096708633	-0.0146805295944214	-0.000902745465282351	-0.199146941304207	0.7568359375
-0.164398545166478	-0.0153891916275024	-0.00185805885121226	-0.20536296069622	0.7822265625
-0.170543789863586	-0.0157061214447021	-0.00239455164410174	-0.210829451680183	0.8076171875
-0.174084299942479	-0.0160265312194824	-0.000752666208427399	-0.214577689766884	0.8330078125
-0.179487469722517	-0.0161004867553711	-0.00127553986385465	-0.218101590871811	0.8583984375
-0.184527045348659	-0.0163295288085938	-0.00219956389628351	-0.221076905727386	0.8837890625
-0.189304351806641	-0.0169661598205566	-0.00257558282464743	-0.224515795707703	0.9091796875
-0.194314125110395	-0.0167176456451416	-0.000867056078277528	-0.225141644477844	0.9345703125
-0.196775799850002	-0.0171430492401123	-0.00306346546858549	-0.228841230273247	0.9599609375
-0.203612449695356	-0.0169319705963135	-0.000897332676686347	-0.22758424282074	0.9853515625
-0.208631157875061	-0.0172394275665283	-0.00142709747888148	-0.232098549604416	1.0107421875
-0.214949250221252	-0.0176240730285645	-0.00215459708124399	-0.234029293060303	1.0361328125
-0.220161673496477	-0.0176321678161621	-0.00306121888570488	-0.236718505620956	1.0615234375
-0.223705166717991	-0.0177741012573242	-0.00177060475107282	-0.238481089472771	1.0869140625
-0.231719022849575	-0.0183169651031494	-0.00161077082157135	-0.243986845016479	1.1123046875
-0.233703845879063	-0.0182885551452637	-0.00327661214396358	-0.245926901698112	1.1376953125
-0.239136817981489	-0.0182893047332764	-0.00236628879792988	-0.245655030012131	1.1630859375
-0.246045005042106	-0.0186272830963135	-0.00118961068801582	-0.252377450466156	1.1884765625
-0.249019270995632	-0.0186653881072998	-0.00311263441108167	-0.252941399812698	1.2138671875
-0.253102189162746	-0.0188148422241211	-0.000275259779300541	-0.25449937582016	1.2392578125
-0.259056687355042	-0.0187956199645996	-0.00119076308328658	-0.25650942325592	1.2646484375
-0.264284026343375	-0.0188793811798096	-0.00220409198664129	-0.256977021694183	1.2900390625
-0.272873032372445	-0.0192898635864258	-0.00244483817368746	-0.25833934545517	1.3154296875
-0.275030732154846	-0.0192866325378418	-0.000546806259080768	-0.258483588695526	1.3408203125
-0.281497836112976	-0.0189580249786377	-0.00239267759025097	-0.258523225784302	1.3662109375
-0.285431742668152	-0.0193989753723145	-0.00182155461516231	-0.259369850158691	1.3916015625
-0.292328011710197	-0.0195207710266113	-0.00155091600026935	-0.261427700519562	1.4169921875
-0.295922160148621	-0.0196547241210938	-0.00245766574516892	-0.261035710573196	1.4423828125
-0.302478671073914	-0.0192022457122803	-0.00298808235675097	-0.258281677961349	1.4677734375
-0.306352972984314	-0.0189145679473877	-9.78256503003649E-05	-0.256762742996216	1.4931640625
-0.309607392409816	-0.0194048404693604	-0.0012628867989406	-0.256217062473297	1.5185546875
-0.314787030220032	-0.0185248336791992	-0.00243549095466733	-0.250724911689758	1.5439453125
-0.320920342346653	-0.0188406143188477	-0.000591062940657139	-0.251534581184387	1.5693359375
-0.326785433571786	-0.018713716506958	-0.00263697397895157	-0.246998742222786	1.5947265625
-0.328984868247062	-0.0179391937255859	-0.00163850979879498	-0.24540439248085	1.6201171875
-0.337412959197536	-0.0181780605316162	-0.00308628054335713	-0.244874954223633	1.6455078125
-0.341758131980896	-0.018263500213623	-0.00137381954118609	-0.241414681077003	1.6708984375
-0.345721840858459	-0.0175724468231201	-0.000302207219647244	-0.239081755280495	1.6962890625
-0.350275629898533	-0.0180239295959473	0.000248079508310184	-0.239706486463547	1.7216796875
