File Path: F:\Lewis Lab\Macy Castaneda\Three-Point-Bending 2022-10-26\C18-RR-M-RF 10-26-2022 1 10 29 PM\Collect Data - (Timed).txt   
Test: 3-point bend for mouse bone
Test Run: C18-RR-M-RF
Date: 10/26/2022 1:09:04 PM


Ch 1 Displacement 	Ch 1 Force 	Ch 2 Torque 	Aux Input 5 	Running Time 
mm	kN	kN·mm	V	sec
-0.0138789418997476	-0.00115106403827667	-0.00175961619243026	-0.0153997540473938	0.0205078125
-0.0210314992727945	-0.00166130018234253	-0.000538052699994296	-0.022863894701004	0.0458984375
-0.0250220291491132	-0.00131694889068604	0.000127601713757031	-0.0241492688655853	0.0712890625
-0.0279635187325766	-0.00204278349876404	0.000143071767524816	-0.0301691889762878	0.0966796875
-0.0347912318829913	-0.00283281445503235	-0.00227206014096737	-0.0361837446689606	0.1220703125
-0.0389724955311976	-0.00283051633834839	-0.00117653852794319	-0.0404399633407593	0.1474609375
-0.0447362654085737	-0.00374387288093567	-0.0016528507694602	-0.049528032541275	0.1728515625
-0.0500231981277466	-0.00401448965072632	-0.00219891197048128	-0.0529938936233521	0.1982421875
-0.0544011600140948	-0.00445474910736084	-0.00236770906485617	-0.056748241186142	0.2236328125
-0.0603348016738892	-0.0047264084815979	-0.00163504097145051	-0.0623902678489685	0.2490234375
-0.0628590569249354	-0.00461771631240845	-0.00105155585333705	-0.0709033012390137	0.2744140625
-0.0682562604197301	-0.00590577220916748	-0.00315402750857174	-0.0766757130622864	0.2998046875
-0.0750750332372263	-0.00613295269012451	-0.00230770302005112	-0.0853635370731354	0.3251953125
-0.0816285610198975	-0.00670753622055054	-0.00256247562356293	-0.0927212834358215	0.3505859375
-0.0857770428410731	-0.00715407657623291	-0.00114715821109712	-0.0970034301280975	0.3759765625
-0.0914067059056833	-0.00735987997055054	-0.00189437670633197	-0.103688687086105	0.4013671875
-0.094604489277117	-0.00782036113739014	-0.00266800727695227	-0.106840133666992	0.4267578125
-0.100371238659136	-0.00840860557556152	-0.00385088985785842	-0.116523653268814	0.4521484375
-0.10715723328758	-0.00897107696533203	-0.00453187478706241	-0.120582729578018	0.4775390625
-0.109195709228516	-0.0086485538482666	-0.00301981414668262	-0.123922973871231	0.5029296875
-0.116342307592276	-0.00960112476348877	-0.00287072430364788	-0.131425559520721	0.5283203125
-0.122940546134487	-0.0104210262298584	-0.00285157584585249	-0.13593390583992	0.5537109375
-0.126937025925145	-0.0102280330657959	-0.00301525113172829	-0.139516294002533	0.5791015625
-0.131657725432888	-0.0108933029174805	-0.00493918266147375	-0.147252380847931	0.6044921875
-0.136169794132002	-0.0114217014312744	-0.00255722575820982	-0.148991122841835	0.6298828125
-0.139620897243731	-0.0107154026031494	-0.00493704061955214	-0.150707736611366	0.6552734375
-0.148901337524876	-0.0112545070648193	-0.00347735034301877	-0.156285166740417	0.6806640625
-0.152254098793492	-0.0121479625701904	-0.00440563494339585	-0.161172524094582	0.7060546875
-0.15634298324585	-0.0120262899398804	-0.00325107318349183	-0.16290083527565	0.7314453125
-0.160428884555586	-0.0120260334014893	-0.00322731537744403	-0.167717635631561	0.7568359375
-0.169122213264927	-0.0128037815093994	-0.00198990921489894	-0.176455527544022	0.7822265625
-0.172814732650295	-0.013115574836731	-0.00458425609394908	-0.179743096232414	0.8076171875
-0.175848603248596	-0.0138816633224487	-0.0029146783053875	-0.185897573828697	0.8330078125
-0.181496143341064	-0.0139595508575439	-0.00433362741023302	-0.193859487771988	0.8583984375
-0.18681884102989	-0.0146337013244629	-0.00331502547487617	-0.196279361844063	0.8837890625
-0.192940235137939	-0.0148388376235962	-0.00275266752578318	-0.20614318549633	0.9091796875
-0.196561217308044	-0.0152613725662231	-0.00336384517140687	-0.20783394575119	0.9345703125
-0.203502175281756	-0.015978835105896	-0.00299877999350429	-0.217534750699997	0.9599609375
-0.206393000553362	-0.0158149976730347	-0.002931859344244	-0.219638720154762	0.9853515625
-0.212904807995073	-0.0165069351196289	-0.00396761950105429	-0.225521922111511	1.0107421875
-0.218740111449733	-0.0173429908752441	-0.00341741414740682	-0.229229480028152	1.0361328125
-0.222384929656982	-0.0169891242980957	-0.00314792804419994	-0.233982726931572	1.0615234375
-0.227752330829389	-0.0174232196807861	-0.00446756137534976	-0.239025056362152	1.0869140625
-0.234326726058498	-0.0176369438171387	-0.00245240423828363	-0.24385578930378	1.1123046875
-0.239047411014326	-0.018488224029541	-0.00401191087439656	-0.248137712478638	1.1376953125
-0.243571397732012	-0.0181044769287109	-0.00295779411680996	-0.249197632074356	1.1630859375
-0.248676544288173	-0.018672513961792	-0.00374257611110806	-0.251373499631882	1.1884765625
-0.252994883339852	-0.0188821182250977	-0.00253524887375534	-0.254125446081162	1.2138671875
-0.257644045632333	-0.0184974098205566	-0.00337420497089624	-0.255446285009384	1.2392578125
-0.261610752204433	-0.0186154098510742	-0.00335168093442917	-0.256773173809052	1.2646484375
-0.269329553702846	-0.0193749656677246	-0.00345540838316083	-0.26109054684639	1.2900390625
-0.271517026703805	-0.0191275157928467	-0.00421865563839674	-0.261608600616455	1.3154296875
-0.280857086181641	-0.0195305557250977	-0.00376564729958773	-0.265983641147614	1.3408203125
-0.287491071503609	-0.0204250545501709	-0.00319058983586729	-0.268107503652573	1.3662109375
-0.288993120193481	-0.0193454933166504	-0.00229915883392096	-0.266868025064468	1.3916015625
-0.292050826828927	-0.0191743240356445	-0.00536681478843093	-0.264506042003632	1.4169921875
-0.299984210869297	-0.0195518245697021	-0.0030374142806977	-0.267190933227539	1.4423828125
-0.304025423247367	-0.0193259887695313	-0.00395514070987701	-0.262818336486816	1.4677734375
