Physical_Tag,Alt_ID,Sex,Femur,max_force,ultimate_energy,failure_energy,fracture_force,fracture_disp,stiffness,yield_force,yield_disp,PYD,yield_energy
C18,L,M,RF,18.8781887657165,3.47992534448448,4.77530635230833,17.3478290619374,0.348216295606108,101.827393149395,13.5906424077272,0.133141869810061,0.215074425796047,1.0486936593661
C18,LL,M,RF,16.7674649225593,2.45637777865946,13.0476474599487,5.8357533528328,1.3389885189099,88.7710162980909,12.435661807549,0.184184309546254,1.15480420936365,1.03342802003019
C18,RR,M,RF,19.4223463149786,3.16969461245171,10.2966666519468,6.80426152486801,0.918027746592997,76.6655127189714,18.2978776152849,0.234797602388425,0.683230144204572,2.40550107919126
